police_station,zone,latitude,longitude
Adugodi,South Zone 2,12.9399274,77.6094872
Ashok Nagar,Central Zone 1,12.9715906,77.6101953
Banashankari,West Zone 2,12.9229116,77.5650055
Banaswadi,Central Zone 1,13.019667,77.640153
Basavanagudi,Central Zone 2,12.9415839,77.5738804
Bellandur,East Zone 1,12.9218104,77.6615878
Byatarayanapura,West Zone 2,13.0569304,77.5985305
Chamarajpet,Central Zone 2,12.9601119,77.5720676
Chikkabanavara,North Zone 2,13.08906,77.54951
Chikkajala,North Zone 2,13.172699,77.63274183
City Market,Central Zone 2,12.9649402,77.5761878
Cubbon Park,Central Zone 2,12.9762147,77.59823
Devanahalli Airport,North Zone 1,13.199523,77.70571
Electronic City,South Zone 2,12.839963,77.6631389
HAL Old Airport,East Zone 1,12.9588013,77.6675094
HSR Layout,South Zone 2,12.9055587,77.6418674
Halasur,Central Zone 1,12.9750264,77.6252019
Halasuru Gate,Central Zone 2,12.9663996,77.5869482
Hebbala,North Zone 1,13.041721,77.588537
Hennuru,North Zone 1,13.024478,77.645732
High ground,Central Zone 2,12.989061,77.588684
Hulimavu,South Zone 1,12.87667,77.6000418
J.P. Nagar,South Zone 2,12.9118515,77.5875409
Jalahalli,North Zone 2,13.0486481,77.5495673
Jayanagara,South Zone 1,12.9285653,77.5813657
Jeevanbheemanagar,Central Zone 1,12.968004,77.655695
Jnanabharathi,West Zone 1,12.951003,77.500274
K.G. Halli,North Zone 1,13.019597,77.619099
K.R. Pura,East Zone 2,13.0079042,77.6938054
K.S. Layout,South Zone 1,12.905604,77.562877
Kamakshipalya,West Zone 1,12.9879713,77.5402233
Kengeri,West Zone 1,12.9104906,77.4815428
Kodigehalli,North Zone 1,13.0621975,77.5741087
Madiwala,South Zone 2,12.9210123,77.6206703
Magadi Road,Central Zone 2,12.9744861,77.5512501
Mahadevapura,East Zone 1,12.9968412,77.6928386
Malleshwaram,West Zone 2,13.0176759,77.5586405
Mico Layout,South Zone 2,12.9085997,77.6107062
Peenya,West Zone 1,13.0360107,77.5211853
Pulikeshinagar(F.Town),North Zone 1,12.999852,77.619706
R.T. Nagar,North Zone 2,13.025241,77.593245
Rajajinagar,West Zone 1,12.9744861,77.5512501
Sadashivanagar,West Zone 2,13.0146431,77.5727282
Sheshadripuram,Central Zone 2,12.965702,77.572956
Shivajinagar,Central Zone 2,12.9879116,77.6035733
Thalagattapura,South Zone 1,12.869774,77.536228
Upparpet,Central Zone 2,12.9745091,77.5749573
V.V.Puram (C.Pet),Central Zone 2,12.960428,77.572015
Vijayanagara,West Zone 2,12.9605733,77.5408389
Whitefield,East Zone 1,12.9754065,77.7511447
Wilson Garden,Central Zone 2,12.9502273,77.59609
Yelahanka,North Zone 2,13.0954067,77.5938087
Yeshwanthpura,West Zone 1,13.0181912,77.5578127
